area	value	unit	zb	updateTime
北京市	0.0	万吨	夏收粮食产量	2022
北京市	0.0	万吨	夏收粮食产量	2021
北京市	0.0	万吨	夏收粮食产量	2020
北京市	4.5	万吨	夏收粮食产量	2019
北京市	5.3489986075	万吨	夏收粮食产量	2018
北京市	6.240078555	万吨	夏收粮食产量	2017
北京市	8.55977230522634	万吨	夏收粮食产量	2016
北京市	11.12377	万吨	夏收粮食产量	2015
北京市	12.20873	万吨	夏收粮食产量	2014
北京市	18.72995	万吨	夏收粮食产量	2013
北京市	27.44743	万吨	夏收粮食产量	2012
北京市	28.38642	万吨	夏收粮食产量	2011
北京市	28.39116	万吨	夏收粮食产量	2010
北京市	31.00002	万吨	夏收粮食产量	2009
北京市	32.7429	万吨	夏收粮食产量	2008
北京市	20.3904	万吨	夏收粮食产量	2007
北京市	30.01	万吨	夏收粮食产量	2006
北京市	26.76	万吨	夏收粮食产量	2005
北京市	20.26	万吨	夏收粮食产量	2004
北京市	18.43	万吨	夏收粮食产量	2003
天津市	0.0	万吨	夏收粮食产量	2022
天津市	0.0	万吨	夏收粮食产量	2021
天津市	0.0	万吨	夏收粮食产量	2020
天津市	60.5	万吨	夏收粮食产量	2019
天津市	57.1300733	万吨	夏收粮食产量	2018
天津市	62.4072490098153	万吨	夏收粮食产量	2017
天津市	58.9040895025921	万吨	夏收粮食产量	2016
天津市	58.0592641854317	万吨	夏收粮食产量	2015
天津市	57.2130680276001	万吨	夏收粮食产量	2014
天津市	55.9639631108169	万吨	夏收粮食产量	2013
天津市	54.6601270893853	万吨	夏收粮食产量	2012
天津市	53.3076081652745	万吨	夏收粮食产量	2011
天津市	52.6181248567383	万吨	夏收粮食产量	2010
天津市	53.4944473586413	万吨	夏收粮食产量	2009
天津市	52.1226973342292	万吨	夏收粮食产量	2008
天津市	50.4222863621351	万吨	夏收粮食产量	2007
天津市	49.9	万吨	夏收粮食产量	2006
天津市	47.42	万吨	夏收粮食产量	2005
天津市	37.8107	万吨	夏收粮食产量	2004
天津市	35.91	万吨	夏收粮食产量	2003
河北省	0.0	万吨	夏收粮食产量	2022
河北省	0.0	万吨	夏收粮食产量	2021
河北省	0.0	万吨	夏收粮食产量	2020
河北省	1476.6	万吨	夏收粮食产量	2019
河北省	1466.474	万吨	夏收粮食产量	2018
河北省	1520.758389841	万吨	夏收粮食产量	2017
河北省	1491.7844381838	万吨	夏收粮食产量	2016
河北省	1492.60662873341	万吨	夏收粮食产量	2015
河北省	1453.14875085702	万吨	夏收粮食产量	2014
河北省	1428.52782407497	万吨	夏收粮食产量	2013
河北省	1373.48369715253	万吨	夏收粮食产量	2012
河北省	1305.50642707894	万吨	夏收粮食产量	2011
河北省	1255.10398047059	万吨	夏收粮食产量	2010
河北省	1248.93597098692	万吨	夏收粮食产量	2009
河北省	1237.845048386	万吨	夏收粮食产量	2008
河北省	1205.33777385952	万吨	夏收粮食产量	2007
河北省	1203.39	万吨	夏收粮食产量	2006
河北省	1165.97	万吨	夏收粮食产量	2005
河北省	1069.0	万吨	夏收粮食产量	2004
河北省	1035.36	万吨	夏收粮食产量	2003
山西省	0.0	万吨	夏收粮食产量	2022
山西省	0.0	万吨	夏收粮食产量	2021
山西省	0.0	万吨	夏收粮食产量	2020
山西省	227.7	万吨	夏收粮食产量	2019
山西省	229.8888	万吨	夏收粮食产量	2018
山西省	233.745842125598	万吨	夏收粮食产量	2017
山西省	230.423051938063	万吨	夏收粮食产量	2016
山西省	232.519463714	万吨	夏收粮食产量	2015
山西省	225.5654901689	万吨	夏收粮食产量	2014
