city	month	avg_max_temperature	avg_min_temperature	avg_precipitation	histroy_max_temperature	histroy_min_temperature
阿巴嘎旗	1月	-14℃	-27℃	2mm	6℃(1979)	6℃(1979)
阿巴嘎旗	2月	-9℃	-24℃	2mm	13℃(2004)	13℃(2004)
阿巴嘎旗	3月	1℃	-14℃	4mm	22℃(2002)	22℃(2002)
阿巴嘎旗	4月	12℃	-3℃	8mm	31℃(2004)	31℃(2004)
阿巴嘎旗	5月	20℃	4℃	19mm	34℃(2001)	34℃(2001)
阿巴嘎旗	6月	25℃	11℃	43mm	37℃(1997)	37℃(1997)
阿巴嘎旗	7月	27℃	14℃	68mm	39℃(1955)	39℃(1955)
阿巴嘎旗	8月	25℃	13℃	58mm	37℃(1972)	37℃(1972)
阿巴嘎旗	9月	19℃	5℃	22mm	35℃(1999)	35℃(1999)
阿巴嘎旗	10月	11℃	-4℃	11mm	26℃(1987)	26℃(1987)
阿巴嘎旗	11月	-2℃	-15℃	4mm	18℃(1994)	18℃(1994)
阿巴嘎旗	12月	-12℃	-24℃	2mm	7℃(1968)	7℃(1968)
阿坝	1月	3℃	-16℃	6mm	16℃(1964)	16℃(1964)
阿坝	2月	5℃	-12℃	8mm	17℃(1984)	17℃(1984)
阿坝	3月	10℃	-7℃	16mm	23℃(1966)	23℃(1966)
阿坝	4月	14℃	-2℃	37mm	25℃(1969)	25℃(1969)
阿坝	5月	16℃	2℃	104mm	26℃(1965)	26℃(1965)
阿坝	6月	18℃	5℃	130mm	27℃(1961)	27℃(1961)
阿坝	7月	20℃	7℃	134mm	27℃(1959)	27℃(1959)
阿坝	8月	20℃	6℃	113mm	28℃(1977)	28℃(1977)
阿坝	9月	17℃	4℃	123mm	27℃(2008)	27℃(2008)
阿坝	10月	13℃	-1℃	58mm	26℃(2007)	26℃(2007)
阿坝	11月	8℃	-8℃	8mm	21℃(1964)	21℃(1964)
阿坝	12月	4℃	-14℃	4mm	18℃(1987)	18℃(1987)
阿尔山	1月	-18℃	-31℃	7mm	3℃(1971)	3℃(1971)
阿尔山	2月	-14℃	-29℃	5mm	5℃(1998)	5℃(1998)
阿尔山	3月	-5℃	-20℃	10mm	19℃(2002)	19℃(2002)
阿尔山	4月	7℃	-7℃	21mm	27℃(2008)	27℃(2008)
阿尔山	5月	16℃	0℃	38mm	32℃(1979)	32℃(1979)
阿尔山	6月	21℃	6℃	78mm	36℃(2007)	36℃(2007)
阿尔山	7月	23℃	10℃	118mm	36℃(2007)	36℃(2007)
阿尔山	8月	22℃	8℃	86mm	36℃(2008)	36℃(2008)
阿尔山	9月	16℃	1℃	47mm	31℃(1999)	31℃(1999)
阿尔山	10月	7℃	-8℃	21mm	25℃(1987)	25℃(1987)
阿尔山	11月	-6℃	-19℃	9mm	13℃(1994)	13℃(1994)
阿尔山	12月	-15℃	-28℃	8mm	5℃(2004)	5℃(2004)
阿合奇	1月	-2℃	-15℃	2mm	13℃(1979)	13℃(1979)
阿合奇	2月	0℃	-12℃	4mm	17℃(1988)	17℃(1988)
阿合奇	3月	8℃	-3℃	11mm	24℃(1964)	24℃(1964)
阿合奇	4月	16℃	4℃	15mm	29℃(1988)	29℃(1988)
阿合奇	5月	21℃	8℃	29mm	31℃(1961)	31℃(1961)
阿合奇	6月	25℃	11℃	27mm	35℃(2007)	35℃(2007)
阿合奇	7月	26℃	13℃	41mm	36℃(1973)	36℃(1973)
阿合奇	8月	26℃	12℃	42mm	37℃(1983)	37℃(1983)
阿合奇	9月	21℃	8℃	27mm	32℃(1970)	32℃(1970)
阿合奇	10月	14℃	2℃	7mm	25℃(1997)	25℃(1997)
阿合奇	11月	6℃	-5℃	2mm	20℃(1998)	20℃(1998)
阿合奇	12月	0℃	-12℃	2mm	15℃(1996)	15℃(1996)
阿克苏	1月	-1℃	-14℃	2mm	9℃(2007)	9℃(2007)
阿克苏	2月	5℃	-8℃	2mm	16℃(1958)	16℃(1958)
阿克苏	3月	14℃	0℃	3mm	28℃(2007)	28℃(2007)
阿克苏	4月	22℃	8℃	3mm	35℃(1988)	35℃(1988)
阿克苏	5月	27℃	12℃	9mm	37℃(1956)	37℃(1956)
阿克苏	6月	30℃	15℃	10mm	38℃(1953)	38℃(1953)
阿克苏	7月	31℃	17℃	16mm	41℃(1953)	41℃(1953)
阿克苏	8月	30℃	16℃	13mm	39℃(2006)	39℃(2006)
阿克苏	9月	26℃	11℃	6mm	35℃(2005)	35℃(2005)
阿克苏	10月	19℃	4℃	3mm	29℃(2002)	29℃(2002)
阿克苏	11月	9℃	-3℃	1mm	22℃(2003)	22℃(2003)
阿克苏	12月	0℃	-10℃	2mm	10℃(2008)	10℃(2008)
阿拉尔	1月	0℃	-15℃	1mm	9℃(2007)	9℃(2007)
阿拉尔	2月	6℃	-10℃	1mm	16℃(1992)	16℃(1992)
阿拉尔	3月	15℃	-1℃	1mm	29℃(1964)	29℃(1964)
阿拉尔	4月	23℃	7℃	1mm	36℃(1988)	36℃(1988)
阿拉尔	5月	28℃	13℃	7mm	37℃(2008)	37℃(2008)
阿拉尔	6月	31℃	16℃	9mm	40℃(1966)	40℃(1966)
阿拉尔	7月	32℃	18℃	11mm	40℃(1973)	40℃(1973)
阿拉尔	8月	32℃	17℃	9mm	41℃(1983)	41℃(1983)
阿拉尔	9月	27℃	11℃	5mm	37℃(1961)	37℃(1961)
阿拉尔	10月	20℃	3℃	2mm	30℃(1959)	30℃(1959)
阿拉尔	11月	10℃	-5℃	1mm	22℃(1979)	22℃(1979)
阿拉尔	12月	1℃	-12℃	1mm	11℃(1985)	11℃(1985)
阿拉山口	1月	-11℃	-19℃	6mm	8℃(1979)	8℃(1979)
阿拉山口	2月	-6℃	-15℃	4mm	12℃(1958)	12℃(1958)
阿拉山口	3月	6℃	-3℃	3mm	24℃(2001)	24℃(2001)
阿拉山口	4月	19℃	7℃	9mm	36℃(1997)	36℃(1997)
阿拉山口	5月	27℃	14℃	15mm	41℃(1969)	41℃(1969)
阿拉山口	6月	32℃	20℃	15mm	43℃(1966)	43℃(1966)
阿拉山口	7月	34℃	22℃	17mm	44℃(1965)	44℃(1965)
阿拉山口	8月	33℃	20℃	13mm	44℃(1968)	44℃(1968)
阿拉山口	9月	26℃	14℃	11mm	39℃(1959)	39℃(1959)
阿拉山口	10月	15℃	5℃	8mm	31℃(1990)	31℃(1990)
阿拉山口	11月	4℃	-4℃	3mm	20℃(1980)	20℃(1980)
阿拉山口	12月	-7℃	-13℃	6mm	11℃(1989)	11℃(1989)
